,category_name,file_path
8292,077.french-horn,256_ObjectCategories/077.french-horn/077_0020.jpg
30526,257.clutter,256_ObjectCategories/257.clutter/257_0747.jpg
313,003.backpack,256_ObjectCategories/003.backpack/003_0119.jpg
13298,121.kangaroo-101,256_ObjectCategories/121.kangaroo-101/121_0073.jpg
14940,134.llama-101,256_ObjectCategories/134.llama-101/134_0053.jpg
10387,096.hammock,256_ObjectCategories/096.hammock/096_0060.jpg
24685,219.theodolite,256_ObjectCategories/219.theodolite/219_0053.jpg
10954,100.hawksbill-101,256_ObjectCategories/100.hawksbill-101/100_0073.jpg
11507,105.horse,256_ObjectCategories/105.horse/105_0099.jpg
4097,035.cereal-box,256_ObjectCategories/035.cereal-box/035_0059.jpg
23526,208.swiss-army-knife,256_ObjectCategories/208.swiss-army-knife/208_0055.jpg
17989,154.palm-tree,256_ObjectCategories/154.palm-tree/154_0046.jpg
8645,080.frog,256_ObjectCategories/080.frog/080_0092.jpg
29374,253.faces-easy-101,256_ObjectCategories/253.faces-easy-101/253_0336.jpg
23741,210.syringe,256_ObjectCategories/210.syringe/210_0059.jpg
16883,145.motorbikes-101,256_ObjectCategories/145.motorbikes-101/145_0732.jpg
21018,183.sextant,256_ObjectCategories/183.sextant/183_0091.jpg
13754,126.ladder,256_ObjectCategories/126.ladder/126_0041.jpg
2211,017.bowling-ball,256_ObjectCategories/017.bowling-ball/017_0076.jpg
7626,070.fire-extinguisher,256_ObjectCategories/070.fire-extinguisher/070_0037.jpg
3526,029.cannon,256_ObjectCategories/029.cannon/029_0088.jpg
23939,212.teapot,256_ObjectCategories/212.teapot/212_0051.jpg
29092,253.faces-easy-101,256_ObjectCategories/253.faces-easy-101/253_0054.jpg
26299,233.tuning-fork,256_ObjectCategories/233.tuning-fork/233_0015.jpg
6709,061.dumb-bell,256_ObjectCategories/061.dumb-bell/061_0034.jpg
11632,105.horse,256_ObjectCategories/105.horse/105_0224.jpg
16919,145.motorbikes-101,256_ObjectCategories/145.motorbikes-101/145_0768.jpg
16004,143.minaret,256_ObjectCategories/143.minaret/143_0065.jpg
27543,244.wheelbarrow,256_ObjectCategories/244.wheelbarrow/244_0076.jpg
12114,110.hourglass,256_ObjectCategories/110.hourglass/110_0019.jpg
15633,140.menorah-101,256_ObjectCategories/140.menorah-101/140_0007.jpg
12259,111.house-fly,256_ObjectCategories/111.house-fly/111_0079.jpg
6489,058.doorknob,256_ObjectCategories/058.doorknob/058_0077.jpg
29465,253.faces-easy-101,256_ObjectCategories/253.faces-easy-101/253_0427.jpg
14143,128.lathe,256_ObjectCategories/128.lathe/128_0060.jpg
3768,032.cartman,256_ObjectCategories/032.cartman/032_0033.jpg
10569,096.hammock,256_ObjectCategories/096.hammock/096_0242.jpg
16828,145.motorbikes-101,256_ObjectCategories/145.motorbikes-101/145_0677.jpg
26653,236.unicorn,256_ObjectCategories/236.unicorn/236_0033.jpg
5744,051.cowboy-hat,256_ObjectCategories/051.cowboy-hat/051_0037.jpg
11312,104.homer-simpson,256_ObjectCategories/104.homer-simpson/104_0001.jpg
19948,172.revolver-101,256_ObjectCategories/172.revolver-101/172_0099.jpg
1418,011.billiards,256_ObjectCategories/011.billiards/011_0174.jpg
25198,225.tower-pisa,256_ObjectCategories/225.tower-pisa/225_0004.jpg
20608,180.screwdriver,256_ObjectCategories/180.screwdriver/180_0003.jpg
16363,145.motorbikes-101,256_ObjectCategories/145.motorbikes-101/145_0212.jpg
18768,160.pez-dispenser,256_ObjectCategories/160.pez-dispenser/160_0071.jpg
18050,155.paperclip,256_ObjectCategories/155.paperclip/155_0004.jpg
22317,196.spaghetti,256_ObjectCategories/196.spaghetti/196_0012.jpg
13639,125.knife,256_ObjectCategories/125.knife/125_0027.jpg
261,003.backpack,256_ObjectCategories/003.backpack/003_0067.jpg
2169,017.bowling-ball,256_ObjectCategories/017.bowling-ball/017_0034.jpg
13212,120.joy-stick,256_ObjectCategories/120.joy-stick/120_0117.jpg
10141,094.guitar-pick,256_ObjectCategories/094.guitar-pick/094_0004.jpg
14053,127.laptop-101,256_ObjectCategories/127.laptop-101/127_0098.jpg
12249,111.house-fly,256_ObjectCategories/111.house-fly/111_0069.jpg
9316,088.golf-ball,256_ObjectCategories/088.golf-ball/088_0007.jpg
13107,120.joy-stick,256_ObjectCategories/120.joy-stick/120_0012.jpg
13587,124.killer-whale,256_ObjectCategories/124.killer-whale/124_0066.jpg
15187,136.mandolin,256_ObjectCategories/136.mandolin/136_0088.jpg
13218,120.joy-stick,256_ObjectCategories/120.joy-stick/120_0123.jpg
